timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,3_mawi.mtx,4,3,1.088285e+00,9.762369e-01,4.469268e-01,0.2483,OK
20260106_162929,strong,3_mawi.mtx,4,4,8.887905e-01,7.570065e-01,2.499701e-01,0.3040,OK
20260106_162929,strong,3_mawi.mtx,4,5,7.966149e-01,6.875232e-01,2.899157e-01,0.3392,OK
20260106_162929,strong,3_mawi.mtx,4,6,7.815732e-01,6.422361e-01,3.012821e-01,0.3458,OK
20260106_162929,strong,3_mawi.mtx,4,7,7.850762e-01,6.548748e-01,2.134897e-01,0.3442,OK
20260106_162929,strong,3_mawi.mtx,4,8,8.281639e-01,6.824666e-01,2.947774e-01,0.3263,OK
20260106_162929,strong,3_mawi.mtx,4,9,7.751615e-01,6.341321e-01,1.893528e-01,0.3486,OK
20260106_162929,strong,3_mawi.mtx,4,10,8.288584e-01,6.931843e-01,2.103658e-01,0.3260,OK
20260106_162929,strong,3_mawi.mtx,8,1,8.864751e-01,8.229761e-01,1.507756e-01,0.3048,OK
20260106_162929,strong,3_mawi.mtx,8,2,8.843850e-01,8.280453e-01,2.379100e-01,0.3056,OK
20260106_162929,strong,3_mawi.mtx,8,3,8.428323e-01,7.839925e-01,2.083899e-01,0.3206,OK
20260106_162929,strong,3_mawi.mtx,8,4,8.103869e-01,7.513546e-01,2.012930e-01,0.3335,OK
20260106_162929,strong,3_mawi.mtx,8,5,1.093797e+00,1.036745e+00,2.938101e-01,0.2471,OK
20260106_162929,strong,3_mawi.mtx,8,6,7.318220e-01,6.675437e-01,1.509099e-01,0.3693,OK
20260106_162929,strong,3_mawi.mtx,8,7,8.729107e-01,8.156120e-01,1.398875e-01,0.3096,OK
20260106_162929,strong,3_mawi.mtx,8,8,9.024295e-01,8.414160e-01,1.562366e-01,0.2995,OK
20260106_162929,strong,3_mawi.mtx,8,9,8.732181e-01,8.126588e-01,2.338859e-01,0.3095,OK
20260106_162929,strong,3_mawi.mtx,8,10,8.462199e-01,7.892036e-01,1.739188e-01,0.3193,OK
20260106_162929,strong,3_mawi.mtx,16,1,1.163875e+00,1.128871e+00,2.822911e-01,0.2322,OK
20260106_162929,strong,3_mawi.mtx,16,2,1.086263e+00,1.050524e+00,1.565501e-01,0.2488,OK
